source_file,kind,name,namespace,app_label,labels,annotations,replicas,container_images,container_ports,service_type,service_ports,ingress_class,hosts,target_kind,target_name,min_replicas,max_replicas,policy_types,pod_selector,selector
kubernetes/base/database.yml,Secret,demo-db,radiant-petclinic,,,,,,,,,,,,,,,,,
kubernetes/base/database.yml,Service,demo-db,radiant-petclinic,,,,,,,ClusterIP,5432->None,,,,,,,,,app=demo-db
kubernetes/base/database.yml,Deployment,demo-db,radiant-petclinic,demo-db,app=demo-db,,1,postgres:18.3,5432,,,,,,,,,,,
kubernetes/base/deployment.yml,Deployment,radiant-petclinic-deployment,radiant-petclinic,radiant-petclinic,app=radiant-petclinic,,2,radiant-petclinic:v1,8080,,,,,,,,,,,
kubernetes/base/service.yml,Service,radiant-petclinic-service,radiant-petclinic,,,,,,,ClusterIP,80->8080,,,,,,,,,app=radiant-petclinic
kubernetes/hpa-pdb/hpa.yml,HorizontalPodAutoscaler,radiant-petclinic-hpa,radiant-petclinic,,,,,,,,,,,Deployment,radiant-petclinic-deployment,2,5,,,
kubernetes/hpa-pdb/pdb.yml,PodDisruptionBudget,radiant-petclinic-pdb,radiant-petclinic,,,,,,,,,,,,,,,,,
kubernetes/ingress/petclinic-ingress.yml,Ingress,radiant-petclinic-ingress,radiant-petclinic,,,,,,,,,nginx,radiant-petclinic.local,,,,,,,
kubernetes/network/allow-app-to-database.yml,NetworkPolicy,allow-app-to-database,radiant-petclinic,,,,,,,,,,,,,,,Ingress,matchLabels={'app': 'demo-db'},
kubernetes/network/allow-nginx-ingress.yaml,NetworkPolicy,allow-nginx-ingress,radiant-petclinic,,,,,,,,,,,,,,,Ingress,matchLabels={'app': 'radiant-petclinic'},
kubernetes/network/allow-radiant-petclinic-egress.yml,NetworkPolicy,allow-radiant-petclinic-egress,radiant-petclinic,,,,,,,,,,,,,,,Egress,matchLabels={'app': 'radiant-petclinic'},
kubernetes/network/cilium-network-policy.yaml,CiliumNetworkPolicy,radiant-petclinic-cilium-policy,radiant-petclinic,,,,,,,,,,,,,,,,,
kubernetes/network/default-deny.yml,NetworkPolicy,default-deny,radiant-petclinic,,,,,,,,,,,,,,,Ingress;Egress,,
